"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
   Mali,647426,820564,772866,895360,994832,1228544,1303511,360541,451780,430246,504937,563350,696316,742057,286885,368784,342620,390423,431482,532228,561454
   Mauritania,134478,151710,107607,103107,114192,114630,130226,75167,85261,65705,63798,71784,71355,80059,59311,66449,41902,39309,42408,43275,50167
   Niger,149777,177067,205236,304086,335897,374993,399707,94786,111377,126966,183773,201800,221615,236316,54991,65690,78270,120313,134097,153378,163391
   Nigeria,446753,524535,610130,817392,996914,1306526,1670455,255357,302154,352560,440569,535088,682707,877687,191396,222381,257570,376823,461826,623819,792768
   Saint Helena*,884,2207,3715,3268,3607,4285,4885,386,887,1468,1319,1510,1731,1981,498,1320,2247,1949,2097,2554,2904
   Senegal,370243,359061,394608,470508,547495,594507,693765,230817,221538,241858,286672,344435,368123,430442,139426,137523,152750,183836,203060,226384,263323
   Sierra Leone,61853,457827,509098,151886,126730,139296,152486,31967,230241,254796,76684,62967,69275,76143,29886,227586,254302,75202,63763,70021,76343
   Togo,193827,309616,267164,405803,417178,495380,545409,95239,148880,130910,198960,210161,247162,271522,98588,160736,136254,206843,207017,248218,273887
 ASIA,56957000,59147922,65333613,72806043,88122177,103378019,114911484,30220434,31337811,34677458,38928847,48356859,57068023,63957509,26736566,27810111,30656155,33877196,39765318,46309996,50953975
  Central Asia,5719892,6159859,6462345,6918899,7232295,7428032,7835504,2757747,2978669,3122316,3372771,3558067,3640447,3807379,2962145,3181190,3340029,3546128,3674228,3787585,4028125
   Kazakhstan,2971634,3295157,3554484,3717649,3797527,3885576,4203899,1427481,1557194,1652929,1736321,1778295,1810038,1934708,1544153,1737963,1901555,1981328,2019232,2075538,2269191
   Kyrgyzstan,522574,550022,566315,652852,726544,742841,774377,252637,266043,273034,315925,352824,358754,368266,269937,283979,293281,336927,373720,384087,406111
   Tajikistan,537699,555426,541183,586235,584647,585060,586851,264425,289709,299119,327743,336574,334196,337393,273274,265717,242064,258492,248073,250864,249458
   Turkmenistan,260005,243523,224398,231939,234635,238531,242554,127429,119518,109999,112625,112615,113826,115596,132576,124005,114399,119314,122020,124705,126958
   Uzbekistan,1427980,1515731,1575965,1730224,1888942,1976024,2027823,685775,746205,787235,880157,977759,1023633,1051416,742205,769526,788730,850067,911183,952391,976407
  Eastern Asia,7049024,8166675,9352688,11019974,12863294,14417725,14820004,3588473,4108628,4618538,5350635,6119053,6820704,6898164,3460551,4058047,4734150,5669339,6744241,7597021,7921840
   China*,4231625,5030321,5884919,7337211,8714648,10240817,10461170,2197565,2555203,2924744,3547044,4094711,4769179,4768512,2034060,2475118,2960175,3790167,4619937,5471638,5692658
"   China, Hong Kong SAR*",549125,617237,685913,752476,862070,957289,1007788,270896,303535,337228,377171,439136,490995,516106,278229,313702,348685,375305,422934,466294,491682
"   China, Macao SAR*",86460,90097,94517,108191,123599,133296,145192,43362,45155,47194,51712,56893,60363,64597,43098,44942,47323,56479,66706,72933,80595
"   China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
