"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
 Lower-middle-income countries,1.8083782509542536,1.471500127793209,1.300366887531152,1.1285792219939053,1.0586251617601068,1.0036139075542445,0.965139086845763,1.7544411643885827,1.4196975945265389,1.2620186326336627,1.104938840245182,1.0273044680869237,0.9712834807245158,0.9395542748284568,1.8645598214118382,1.525539075742134,1.3403637096827932,1.1532291426297754,1.0912574477633663,1.0372273295756713,0.9917146034433543
  Low-income countries,3.0301793672636794,2.564524071138901,1.8226258007518252,1.562182201139903,1.6529016779999333,1.7110674575871854,1.7828647968388833,3.07964657337018,2.6049919029330564,1.8531997116703014,1.5699707554109217,1.6648146494633347,1.7131788279710984,1.7679344456333925,2.98166948341148,2.524652319092191,1.7924917363912898,1.5544771625494513,1.6411216170546912,1.7089730614858463,1.7977047996520588
 AFRICA,2.48904161822497,2.280462649473954,1.8559765290233163,1.750806306603696,1.7133270425209453,1.9333594213923981,1.89389077560189,2.633500054857646,2.4105030077326806,1.9785804366756459,1.9059073026702682,1.8415006728532917,2.0566471916319573,2.0061960803210925,2.3453124116764124,2.1511724771580263,1.7341737051726394,1.5966700058892356,1.5858418738442193,1.8104623952726762,1.7817263604065536
  Eastern Africa,3.0223828190862174,2.222815015286362,1.8834489549739728,1.6222512323127565,1.3979980717194807,1.718607987278098,1.72490004155269,3.135926001629266,2.3110235346757055,1.95016844831653,1.7450585071875266,1.4323855039646876,1.748760149086105,1.7403995345908874,2.910456607479475,2.1362116403899503,1.8180721548497165,1.5020002684636118,1.3642901957031919,1.6889798172758126,1.7096302930836873
   Burundi,6.124517577720296,4.256741724296664,1.9694394196088931,2.617484630047807,2.850763393358343,2.9360039543174756,2.8994479000159874,6.12713925603071,4.24474248824333,1.9506834129009352,2.6014057229107377,2.8396975547891006,2.9214418966612232,2.8835410443359373,6.121999519879926,4.2682050598714,1.9875310407358553,2.6331062360295006,2.8615772758506344,2.950286189204412,2.915112995222601
   Comoros,3.4205705567082445,2.9320942207936995,2.5442604331456344,2.159656652360515,1.8295016934997448,1.6149260066757993,1.43699078306568,3.254581221594488,2.7696701437598668,2.386266597765097,2.040829578068387,1.743247791454634,1.5483729459382947,1.3778544772291539,3.5875095023682824,3.0960341176619766,2.7042169904083413,2.280205393049705,1.9171570648027152,1.682643650122228,1.49718523606425
   Djibouti,20.701634335095438,15.827470514050937,14.00644112060448,11.760004494106592,12.176592548863715,12.29225884520535,12.119206236424622,21.63328944399732,16.545122631783055,14.66907270504686,13.04055118310274,12.00401707031215,12.229128761769923,12.112494773532589,19.75878732525883,15.100761136085003,13.33649087209726,10.466298104316492,12.37287014566194,12.363042232078,12.126632964399404
   Eritrea,0.5245613638949655,0.5625554899744899,0.5649941786231364,0.5626796072952711,0.49876405050786377,0.47687310526627535,0.39290249030926055,0.5513758722592776,0.596362389971048,0.6008406159843235,0.6099995107524556,0.5478917624956442,0.5275543053042112,0.43965057483679765,0.49773671499082023,0.5290618229241458,0.5294677095049702,0.5155599989832835,0.4497073498217623,0.42601445140750194,0.3459253007130505
   Ethiopia,2.4126989669031804,1.4144322843331008,0.9231948105731796,0.6738387225263408,0.6489596606625639,1.1520174357723172,0.944226833987942,2.543024966228551,1.4912284927216655,0.9758467341059552,0.7087079035768115,0.6816514622304204,1.173230617504489,0.9333041360846785,2.2830629697363136,1.338082639336694,0.8708377455196873,0.6391500762223641,0.6164055901826367,1.1308119418252938,0.955162857956729
   Kenya,1.2564567018147512,2.2282425169969913,2.2144902555665014,2.111552695970722,2.2719711151976494,2.353644724391964,1.9529879322240675,1.364283453599312,2.332912810597723,2.224348113917823,2.203188571268828,2.266982518723368,2.3668933883578545,1.9835487188346872,1.1493950660601857,2.1246754839691446,2.204773822132048,2.0213114804736887,2.2768906411833147,2.3405682251585658,1.9228047342873131
   Madagascar,0.20620508581733715,0.1571529994316311,0.14930734861581985,0.14210827867707215,0.13665607016760875,0.13235493156744552,0.12842792098044495,0.2304904224218762,0.17720981427589516,0.1691105708755574,0.16148087512908665,0.15574734762077183,0.15121930184026525,0.1466707116569773,0.18198827485136937,0.1372263443218458,0.12966881964488303,0.12289505290385455,0.11770696100786174,0.11359999749841368,0.11026635150327174
   Malawi,11.991324577736677,2.4544264577144124,2.086511753648458,1.7555985886210541,1.497440543277333,1.178407917920874,1.0003264513690702,11.721905240711722,2.379735283684893,2.026500219766163,1.7045530429918878,1.4518624749971696,1.1356057974331084,0.9922793391630751,12.25621383867163,2.527931480250548,2.1450180277879833,1.805077519446345,1.5415916145042008,1.2199754425190499,1.0081562158425843
   Mauritius*,0.3421826003036362,0.663875195361645,1.3114828793390187,1.607760983952668,1.9901390517110822,2.2696288956272426,2.2718784179806524,0.3348254558507092,0.5737146960182992,0.9707449297507373,1.4766685380271456,2.1319865885951326,2.538013289622392,2.5503601708420987,0.3495010636167503,0.7534976246716146,1.6466539683389851,1.7365628903778452,1.8507249255213507,2.0062548964701366,2.000661196019786
