"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
   Kazakhstan,16383.881,15839.357,14922.724,15402.803,16252.273,17572.01,18776.707,7951.679,7673.094,7177.202,7419.259,7855.518,8507.888,9112.939,8432.202,8166.263,7745.522,7983.544,8396.755,9064.122,9663.768
   Kyrgyzstan,4372.885,4566.096,4920.712,5075.34,5422.298,5959.126,6524.191,2144.643,2252.574,2432.987,2515.732,2679.679,2948.492,3227.27,2228.242,2313.522,2487.725,2559.608,2742.619,3010.634,3296.921
   Tajikistan,5283.811,5764.806,6216.329,6789.318,7527.397,8454.019,9537.642,2619.151,2876.271,3113.723,3413.086,3797.838,4265.336,4805.738,2664.66,2888.535,3102.606,3376.232,3729.559,4188.683,4731.904
   Turkmenistan,3683.978,4207.841,4516.128,4754.652,5087.211,5565.283,6031.187,1810.473,2071.646,2222.832,2338.888,2502.514,2740.07,2969.31,1873.505,2136.195,2293.296,2415.764,2584.697,2825.213,3061.877
   Uzbekistan,20398.347,22791.033,24769.955,26427.785,28515.908,30929.556,33469.199,10090.933,11332.924,12317.008,13130.436,14182.209,15406.833,16696.918,10307.414,11458.109,12452.947,13297.349,14333.699,15522.723,16772.281
  Eastern Asia,1393334.81,1464564.639,1519781.295,1564192.321,1604859.428,1645183.917,1678089.627,711282.225,747553.522,775570.795,798705.341,819645.819,839695.29,855475.736,682052.585,717011.117,744210.5,765486.98,785213.609,805488.627,822613.891
   China*,1176883.681,1240920.539,1290550.767,1330776.38,1368810.604,1406847.868,1439323.774,603859.475,636686.865,662187.757,683485.9,703414.019,722508.006,738247.34,573024.206,604233.674,628363.01,647290.48,665396.585,684339.862,701076.434
"   China, Hong Kong SAR*",5727.942,6084.234,6606.328,6769.579,6966.324,7185.992,7496.988,2910.086,3052.219,3249.716,3252.142,3276.527,3333.368,3439.666,2817.856,3032.015,3356.612,3517.437,3689.797,3852.624,4057.322
"   China, Macao SAR*",343.816,385.517,427.772,482.863,538.215,602.093,649.342,169.833,186.848,204.9,229.402,258.323,288.841,312.1,173.983,198.669,222.872,253.461,279.892,313.252,337.242
"   China, Taiwan Province of China*",20478.516,21356.025,21966.528,22705.719,23187.556,23557.473,23816.775,10533.906,10911.819,11158.608,11494.109,11654.238,11765.981,11834.313,9944.61,10444.206,10807.92,11211.61,11533.318,11791.492,11982.462
   Dem. People's Republic of Korea,20293.057,21862.3,22929.078,23904.167,24548.84,25183.832,25778.815,9859.249,10657.909,11177.728,11670.344,11994.618,12314.25,12608.379,10433.808,11204.391,11751.35,12233.823,12554.222,12869.582,13170.436
   Japan,124505.243,126365.486,127524.168,128326.115,128542.349,127985.139,126476.458,61357.276,62189.605,62624.572,62885.586,62874.509,62536.745,61753.045,63147.967,64175.881,64899.596,65440.529,65667.84,65448.394,64723.413
   Mongolia,2184.139,2298.017,2397.417,2526.429,2719.902,2998.433,3278.292,1078.252,1138.455,1195.603,1256.92,1348.96,1482.075,1615.039,1105.887,1159.562,1201.814,1269.509,1370.942,1516.358,1663.253
   Republic of Korea,42918.416,45292.521,47379.237,48701.069,49545.638,50823.087,51269.183,21514.148,22729.802,23771.911,24430.938,24824.625,25466.024,25665.854,21404.268,22562.719,23607.326,24270.131,24721.013,25357.063,25603.329
  South-Eastern Asia,444464.194,485655.311,525007.925,561156.081,596947.246,634305.699,668619.854,221821.266,242088.193,261486.44,279657.318,298344.574,316953.785,333931.707,222642.928,243567.118,263521.485,281498.763,298602.672,317351.914,334688.147
   Brunei Darussalam,258.714,297.112,333.166,365.112,388.634,414.914,437.483,136.439,155.344,168.75,186.429,200.719,215.828,226.987,122.275,141.768,164.416,178.683,187.915,199.086,210.496
   Cambodia,8975.597,10656.145,12155.241,13273.355,14312.205,15521.435,16718.971,4334.68,5173.358,5907.47,6442.005,6972.05,7570.441,8162.424,4640.917,5482.787,6247.771,6831.35,7340.155,7950.994,8556.547
   Indonesia,181413.398,196934.257,211513.822,226289.468,241834.226,258383.257,273523.621,91096.365,98509.83,105853.827,113592.387,121820.505,130132.842,137717.861,90317.033,98424.427,105659.995,112697.081,120013.721,128250.415,135805.76
   Lao People's Democratic Republic,4258.471,4846.477,5323.701,5751.675,6249.168,6741.16,7275.556,2129.857,2416.503,2649.923,2845.939,3099.431,3381.013,3651.794,2128.614,2429.974,2673.778,2905.736,3149.737,3360.147,3623.762
   Malaysia*,18029.824,20487.604,23194.252,25690.615,28208.028,30270.965,32365.998,9172.078,10428.403,11818.005,13168.052,14550.127,15585.167,16630.813,8857.746,10059.201,11376.247,12522.563,13657.901,14685.798,15735.185
   Myanmar,41335.188,43901.598,46719.698,48949.931,50600.827,52680.724,54409.794,20123.771,21351.267,22629.738,23671.965,24398.508,25391.577,26220.19,21211.417,22550.331,24089.96,25277.966,26202.319,27289.147,28189.604
   Philippines,61895.169,69784.087,77991.757,86326.251,93966.784,102113.206,109581.085,31267.88,35201.254,39280.834,43386.652,47397.706,51388.76,55028.825,30627.289,34582.833,38710.923,42939.599,46569.078,50724.446,54552.26
   Singapore,3012.968,3525.964,4028.872,4265.693,5131.17,5592.143,5850.343,1515.834,1790.351,2066.176,2156.06,2675.141,2926.484,3062.257,1497.134,1735.613,1962.696,2109.633,2456.029,2665.659,2788.086
   Thailand,56558.196,59467.272,62952.639,65416.189,67195.032,68714.519,69799.978,28018.398,29537.662,31094.46,32173.692,32931.279,33559.468,33966.06,28539.798,29929.61,31858.179,33242.497,34263.753,35155.051,35833.918
   Timor-Leste,737.814,844.333,884.366,995.13,1093.517,1196.294,1318.442,372.681,426.029,446.775,502.609,552.742,604.739,666.242,365.133,418.304,437.591,492.521,540.775,591.555,652.2
   Viet Nam,67988.855,74910.462,79910.411,83832.662,87967.655,92677.082,97338.583,33653.283,37098.192,39570.482,41531.528,43746.366,46197.466,48598.254,34335.572,37812.27,40339.929,42301.134,44221.289,46479.616,48740.329
