Unnamed: 0,Country Code,Country,Year,Migrantes,Diff,Poblacion Total,Stock de Migrantes cambio anual (% de Poblacion Emisor),% Migrantes (%Poblacion)
1149,DNK,Denmark,1992,"-203991,2","-1238,6000000000058","5171370,0","-0,023951099998646506","-3,944625892171707"
1150,DNK,Denmark,1993,"-205229,8","-1238,5999999999767","5188628,0","-0,02387143576297967","-3,9553770283782144"
1151,DNK,Denmark,1994,"-206468,4","-1238,6000000000058","5206180,0","-0,0237909561329037","-3,9658329139599475"
1152,DNK,Denmark,1995,"-207707,0","-1238,6000000000058","5233373,0","-0,023667336534200903","-3,9688934841831456"
1153,DNK,Denmark,1996,"-209717,8","-2010,7999999999884","5263074,0","-0,038205809000595246","-3,984701716145355"
1154,DNK,Denmark,1997,"-211728,6","-2010,8000000000175","5284991,0","-0,038047368481800965","-4,006224419303647"
1155,DNK,Denmark,1998,"-213739,4","-2010,7999999999884","5304219,0","-0,037909445292511265","-4,029611145391998"
1156,DNK,Denmark,1999,"-215750,2","-2010,8000000000175","5321799,0","-0,037784215450452324","-4,054083966718773"
1157,DNK,Denmark,2000,"-217761,0","-2010,7999999999884","5339616,0","-0,037658138712596344","-4,078214613185667"
1158,DNK,Denmark,2001,"-219101,2","-1340,2000000000116","5358783,0","-0,02500940978576687","-4,088637289474121"
1159,DNK,Denmark,2002,"-220441,4","-1340,1999999999825","5375931,0","-0,024929635443609353","-4,100525099745514"
1160,DNK,Denmark,2003,"-221781,6","-1340,2000000000116","5390574,0","-0,024861916374768468","-4,114248315671022"
1161,DNK,Denmark,2004,"-223121,8","-1340,1999999999825","5404523,0","-0,024797748108389632","-4,128427245105628"
1162,DNK,Denmark,2005,"-224462,0","-1340,2000000000116","5419432,0","-0,024729528850994192","-4,141799361999561"
1163,DNK,Denmark,2006,"-226275,8","-1813,7999999999884","5437272,0","-0,033358640141600206","-4,161568521861698"
