"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
   Rwanda,160024,215735,347076,423187,426901,514647,513907,80763,109783,175741,213279,214048,256327,259907,79261,105952,171335,209908,212853,258320,254000
   Seychelles,3721,5148,6574,8997,11420,12791,13050,2204,3021,3837,5820,7804,8954,9136,1517,2127,2737,3177,3616,3837,3914
   Somalia,478294,19527,20097,20768,48106,40990,58590,244201,10282,10628,11098,25213,21584,32285,234093,9245,9469,9670,22893,19406,26305
   South Sudan,0,0,0,0,230732,844112,882252,0,0,0,0,119106,430944,443405,0,0,0,0,111626,413168,438847
   Uganda,544273,606987,584280,593308,492930,851175,1720313,283337,308281,290859,292130,241903,415845,827664,260936,298706,293421,301178,251027,435330,892649
   United Republic of Tanzania*,574025,1106043,949600,771153,309847,384567,426017,283390,547089,481816,486983,154591,190617,213007,290635,558954,467784,284170,155256,193950,213010
   Zambia,279463,244338,343703,252895,149962,132107,187955,143029,125329,175114,128628,75941,66651,97556,136434,119009,168589,124267,74021,65456,90399
   Zimbabwe,634621,431226,410109,402226,398307,400482,416141,356240,246013,233881,229254,227201,225653,236561,278381,185213,176228,172972,171106,174829,179580
  Middle Africa,1461155,2662490,1775284,1961951,2436802,3479911,3861568,744853,1355452,915265,1003895,1241613,1828969,2030830,716302,1307038,860019,958056,1195189,1650942,1830738
   Angola,33517,39813,46108,62331,336367,632178,656434,18142,20755,23367,30736,162332,304635,331401,15375,19058,22741,31595,174035,327543,325033
   Cameroon,265967,244791,227242,265503,291474,508346,579209,145869,133945,124008,146129,161485,251311,286254,120098,110846,103234,119374,129989,257035,292955
   Central African Republic,67234,99712,123529,96409,94685,81568,88546,35686,52975,65636,51299,50411,43147,46357,31548,46737,57893,45110,44274,38421,42189
   Chad,74342,89584,104825,352130,417034,466968,547494,40133,48298,56463,159745,186821,215640,249548,34209,41286,48362,192385,230213,251328,297946
   Congo,129391,191635,305880,318724,425173,390142,387606,64316,95822,153107,173229,231105,213764,211403,65075,95813,152773,145495,194068,176378,176203
   Democratic Republic of the Congo,754194,1816963,744387,623009,589882,810018,952871,363117,901379,365092,302359,284693,393966,459052,391077,915584,379295,320650,305189,416052,493819
   Equatorial Guinea,2740,3629,4517,6588,8658,209611,230618,1465,1930,2394,3564,4734,161527,177716,1275,1699,2123,3024,3924,48084,52902
   Gabon,128188,171427,214431,233824,270829,378686,416651,73172,97800,122986,135107,158680,243782,268032,55016,73627,91445,98717,112149,134904,148619
   Sao Tome and Principe,5582,4936,4365,3433,2700,2394,2139,2953,2548,2212,1727,1352,1197,1067,2629,2388,2153,1706,1348,1197,1072
  Northern Africa,2403325,2081640,1900448,1749718,1952040,2138918,3167926,1230710,1105808,1056699,1046124,1155582,1273692,1788054,1172615,975832,843749,703594,796458,865226,1379872
   Algeria,273954,262032,250110,197728,217268,239473,250378,150234,143696,137158,108434,114894,126522,132142,123720,118336,112952,89294,102374,112951,118236
   Egypt,173833,166955,184774,285006,310017,353641,543937,91995,88545,98224,165211,174104,207433,289552,81838,78410,86550,119795,135913,146208,254385
   Libya,457075,508041,567436,625412,687192,771146,826537,242707,300906,368950,445685,491303,549153,593797,214368,207135,198486,179727,195889,221993,232740
   Morocco,54895,50360,53034,56222,71189,92424,102358,29024,26264,27233,28486,35881,46387,52707,25871,24096,25801,27736,35308,46037,49651
