Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
2005,   Denmark*,6452,13891,18426,24341,41927,57212,54838,50689,43729,33953,25461,21044,16839,11852,8998,10731,440383,3168,6907,9226,11620,19133,26588,27353,26450,22656,17239,12916,10493,7296,5313,3626,3113,213097,3284,6984,9200,12721,22794,30624,27485,24239,21073,16714,12545,10551,9543,6539,5372,7618,227286
2010,   Denmark*,8338,13091,18125,26459,51537,59619,54678,52756,51709,45439,34506,25222,19930,15082,9999,14282,500772,4250,6361,8991,13500,25184,27801,25012,24725,25982,23713,17601,12434,10014,7484,4367,4610,242029,4088,6730,9134,12959,26353,31818,29666,28031,25727,21726,16905,12788,9916,7598,5632,9672,258743
2015,   Denmark*,8548,16529,17187,25559,55889,75063,70682,61576,56655,53715,45928,34265,24460,18724,13539,17557,595876,4517,8555,8451,12827,27365,37136,34810,29063,26730,26783,23707,17339,11905,9290,6574,6379,291431,4031,7974,8736,12732,28524,37927,35872,32513,29925,26932,22221,16926,12555,9434,6965,11178,304445
2020,   Denmark*,9112,20960,24028,27254,61369,86578,89327,78466,66932,60215,55195,44372,31858,22671,16916,22321,717574,4701,10785,12386,13557,30154,43321,45531,38902,31753,28644,27854,22801,15860,10815,8403,9009,354476,4411,10175,11642,13697,31215,43257,43796,39564,35179,31571,27341,21571,15998,11856,8513,13312,363098
1990,   Estonia,4542,8140,10089,14288,19836,32364,38998,37309,28664,32855,38236,34090,33509,19441,12321,17315,381997,2303,4059,5127,9142,10891,16043,18777,17753,13473,15457,17249,14413,13006,6241,3982,3775,171691,2239,4081,4962,5146,8945,16321,20221,19556,15191,17398,20987,19677,20503,13200,8339,13540,210306
1995,   Estonia,2519,4588,6136,9247,12903,20057,25036,27959,27170,29658,31326,27642,32703,21485,17703,19623,315755,1275,2290,3123,5650,6937,9865,11901,13042,12484,13534,13868,11679,12903,7425,5824,4468,136268,1244,2298,3013,3597,5966,10192,13135,14917,14686,16124,17458,15963,19800,14060,11879,15155,179487
2000,   Estonia,417,897,2040,4040,5742,7316,10604,18423,25902,26623,24398,21159,32223,23880,23573,22275,249512,200,443,1040,2034,2841,3443,4765,8235,11632,11707,10493,8953,13007,8818,7910,5323,100844,217,454,1000,2006,2901,3873,5839,10188,14270,14916,13905,12206,19216,15062,15663,16952,148668
2005,   Estonia,991,1218,1611,2831,4924,6827,9212,13837,19247,23406,25246,23319,27073,21228,24194,28537,233701,477,604,807,1410,2406,3329,4374,6470,8835,10476,11086,9893,10945,7908,8137,7087,94244,514,614,804,1421,2518,3498,4838,7367,10412,12930,14160,13426,16128,13320,16057,21450,139457
2010,   Estonia,1572,1543,1180,1613,4101,6339,7803,9215,12538,20172,26121,25518,21889,18564,24838,34884,217890,757,767,572,780,1967,3215,3983,4687,6009,9237,11696,10855,8866,6993,8375,8885,87644,815,776,608,833,2134,3124,3820,4528,6529,10935,14425,14663,13023,11571,16463,25999,130246
2015,   Estonia,1201,915,734,1121,4214,5462,6710,7886,9104,11918,19074,24627,24256,20519,15908,41015,194664,624,425,340,528,1997,2945,3671,4226,4835,5858,8829,10964,10092,7982,5671,11037,80024,577,490,394,593,2217,2517,3039,3660,4269,6060,10245,13663,14164,12537,10237,29978,114640
2020,   Estonia,1757,2749,2084,1838,5874,8021,8641,8706,9335,10488,13296,20699,24565,23338,16457,41429,199277,910,1387,1043,871,2824,4502,5139,5110,5261,5783,6676,9595,10723,9346,6098,11499,86767,847,1362,1041,967,3050,3519,3502,3596,4074,4705,6620,11104,13842,13992,10359,29930,112510
1990,   Faroe Islands*,227,306,394,458,550,588,427,328,341,260,121,88,49,50,46,52,4285,120,164,218,258,319,335,253,213,215,161,55,50,23,19,18,19,2440,107,142,176,200,231,253,174,115,126,99,66,38,26,31,28,33,1845
