Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
2015,   Poland,19088,32319,14075,12301,19213,21837,20096,18348,15466,11122,8132,11217,13492,33978,116189,244982,611855,9769,16401,7101,6290,9903,11671,11104,9710,7985,6166,4066,5027,6000,15150,48296,81984,256623,9319,15918,6974,6011,9310,10166,8992,8638,7481,4956,4066,6190,7492,18828,67893,162998,355232
2020,   Poland,73878,57273,35940,15322,28678,53064,56842,47794,39061,29165,19595,13240,13839,13586,54785,265192,817254,39320,29611,18841,7496,14141,30745,34241,28591,22980,16666,10884,6782,6066,6192,23389,94504,390449,34558,27662,17099,7826,14537,22319,22601,19203,16081,12499,8711,6458,7773,7394,31396,170688,426805
1990,   Republic of Moldova*,15547,12436,17564,23784,25786,26148,30008,39346,50438,55729,50989,41813,35233,31284,29352,58705,544162,8375,6621,9250,12423,13300,13081,14324,18240,23008,24884,22087,17325,13633,11213,10097,20192,238053,7172,5815,8314,11361,12486,13067,15684,21106,27430,30845,28902,24488,21600,20071,19255,38513,306109
1995,   Republic of Moldova*,12125,7905,6377,9916,18226,14485,11816,15498,25859,37730,45070,41865,33488,26774,21998,38099,367231,6423,4149,3310,5101,9270,7216,5667,7100,11561,16620,19292,17187,12967,9656,7245,12533,155297,5702,3756,3067,4815,8956,7269,6149,8398,14298,21110,25778,24678,20521,17118,14753,25566,211934
2000,   Republic of Moldova*,7355,5306,3551,7572,14564,10900,9584,8374,11896,22448,30369,30971,24723,19215,15538,25462,247828,3781,2707,1793,3781,7199,5328,4546,3725,5116,9570,12590,12329,9356,6791,4739,7746,101097,3574,2599,1758,3791,7365,5572,5038,4649,6780,12878,17779,18642,15367,12424,10799,17716,146731
2005,   Republic of Moldova*,9789,6679,2135,3725,7701,8725,8125,8042,9999,14858,18500,19545,14351,10720,12746,15482,171122,4845,3286,1041,1794,3666,4106,3730,3519,4141,6010,7335,7462,5210,3643,3846,4290,67924,4944,3393,1094,1931,4035,4619,4395,4523,5858,8848,11165,12083,9141,7077,8900,11192,103198
2010,   Republic of Moldova*,5516,4042,2923,2169,5294,7513,6060,5186,4217,6544,12215,16203,17164,12302,8512,13628,129488,2761,2015,1446,1061,2559,3594,2856,2376,1801,2695,4984,6414,6502,4412,2835,3887,52198,2755,2027,1477,1108,2735,3919,3204,2810,2416,3849,7231,9789,10662,7890,5677,9741,77290
2015,   Republic of Moldova*,5889,3019,2062,3445,4835,6178,5669,4604,3999,5139,7648,10661,13022,11078,7465,11661,106374,3077,1577,1072,1756,2431,3076,2630,2101,1730,2100,3151,4304,5078,3803,2376,3205,43467,2812,1442,990,1689,2404,3102,3039,2503,2269,3039,4497,6357,7944,7275,5089,8456,62907
2020,   Republic of Moldova*,6372,4050,1431,3886,6716,7930,6759,5664,4262,3644,5197,7968,10538,12353,8698,8970,104438,3243,2061,727,1945,3299,3849,3126,2524,1830,1467,2046,3108,3990,4345,2731,2452,42743,3129,1989,704,1941,3417,4081,3633,3140,2432,2177,3151,4860,6548,8008,5967,6518,61695
1990,   Romania,828,329,349,534,770,668,962,1009,1185,9235,16845,19596,18183,19178,15772,30382,135825,421,180,187,266,374,413,598,505,609,4409,7888,8988,8136,8076,6318,10233,57601,407,149,162,268,396,255,364,504,576,4826,8957,10608,10047,11102,9454,20149,78224
1995,   Romania,1426,1635,1628,3405,4706,3953,3647,3207,3022,6638,10212,14336,16712,17760,14606,28144,135037,715,822,809,1524,2315,2014,2200,2086,1954,3522,5096,6812,7515,7545,5907,9607,60443,711,813,819,1881,2391,1939,1447,1121,1068,3116,5116,7524,9197,10215,8699,18537,74594
2000,   Romania,2068,3018,2982,6443,8872,7431,6490,5534,4966,3895,3201,8780,15163,16268,13379,25764,134254,1070,1538,1503,2943,4479,3803,3955,3792,3402,2480,1913,4322,6794,6915,5415,8797,63121,998,1480,1479,3500,4393,3628,2535,1742,1564,1415,1288,4458,8369,9353,7964,16967,71133
2005,   Romania,12598,4090,3085,5424,7871,7709,7134,6538,5749,4527,3616,7142,12444,14762,13368,29105,145162,6337,2094,1587,2594,3998,3979,4144,4206,3855,2955,2241,3716,5823,6514,5621,10489,70153,6261,1996,1498,2830,3873,3730,2990,2332,1894,1572,1375,3426,6621,8248,7747,18616,75009
2010,   Romania,25695,5815,3629,5089,7901,9089,8827,8533,7397,5841,4569,6384,11266,15214,15229,36733,177211,13299,3018,1898,2526,3996,4725,4955,5278,4903,3887,2911,3503,5452,6898,6596,13822,87667,12396,2797,1731,2563,3905,4364,3872,3255,2494,1954,1658,2881,5814,8316,8633,22911,89544
2015,   Romania,60260,31222,14863,10883,20704,26117,21376,15877,12021,9460,8160,5741,4255,10564,12580,16965,281048,31187,16051,7683,5512,10889,14213,11891,9111,7354,6033,4976,3425,2382,4287,5443,6321,146758,29073,15171,7180,5371,9815,11904,9485,6766,4667,3427,3184,2316,1873,6277,7137,10644,134290
2020,   Romania,142560,89398,48862,35481,49028,61814,62752,49717,37487,28070,21167,15977,10898,10806,12920,28373,705310,73903,46567,25443,18559,27980,36252,37354,29731,22710,17354,12921,9395,6238,5342,5809,11388,386946,68657,42831,23419,16922,21048,25562,25398,19986,14777,10716,8246,6582,4660,5464,7111,16985,318364
1990,   Russian Federation,199257,457043,747178,828805,946294,1067496,1129811,1249019,1114587,981690,603045,645978,544484,299907,259031,451323,11524948,103886,237898,388417,432130,497068,565480,601043,662367,583975,495221,284440,274780,208841,103182,81704,134990,5655422,95371,219145,358761,396675,449226,502016,528768,586652,530612,486469,318605,371198,335643,196725,177327,316333,5869526
1995,   Russian Federation,146201,340724,682718,830370,915477,1020254,1110834,1217717,1217479,1074761,805882,748508,634396,358259,304243,521104,11928927,74526,173574,348003,425224,472771,531554,581382,635424,627915,543343,396057,354331,286670,152207,121621,200850,5925452,71675,167150,334715,405146,442706,488700,529452,582293,589564,531418,409825,394177,347726,206052,182622,320254,6003475
2000,   Russian Federation,84795,216868,588263,802594,898436,996178,1090286,1162401,1284403,1143982,993871,778111,649514,370154,312751,527690,11900297,44076,112538,304865,417183,470506,526137,578314,614611,670908,585511,494320,372904,297381,159587,127074,206936,5982851,40719,104330,283398,385411,427930,470041,511972,547790,613495,558471,499551,405207,352133,210567,185677,320754,5917446
2005,   Russian Federation,68485,157352,405114,664020,886793,984551,1049244,1108778,1181754,1161037,1070766,881184,717115,413490,345017,572888,11667588,35545,81653,210503,346704,465921,519510,553583,581914,612974,590463,528857,418556,324792,176035,138237,221350,5806597,32940,75699,194611,317316,420872,465041,495661,526864,568780,570574,541909,462628,392323,237455,206780,351538,5860991
2010,   Russian Federation,77094,131483,240922,498966,869775,1017381,1035048,1050818,1048137,1102715,1069492,925450,754832,452664,360852,559081,11194710,39950,68305,125847,262319,458704,535595,541782,545829,538338,555952,523644,435169,337858,190111,142417,212581,5514401,37144,63178,115075,236647,411071,481786,493266,504989,509799,546763,545848,490281,416974,262553,218435,346500,5680309
2015,   Russian Federation,103753,148313,208148,399487,825297,1126552,1154082,1114594,1080442,1086146,1091609,999793,823955,504989,396415,579701,11643276,53649,76885,108500,209590,434361,591856,602839,577739,553736,546470,533496,469461,368369,211856,156263,220141,5715211,50104,71428,99648,189897,390936,534696,551243,536855,526706,539676,558113,530332,455586,293133,240152,359560,5928065
2020,   Russian Federation,106255,149865,190872,287787,538908,950581,1185556,1167019,1100556,1049346,1023061,1005947,908811,742203,454683,775461,11636911,55508,78485,100502,152494,286445,504377,625519,611106,569955,533699,505758,478230,411842,316119,182267,299783,5712089,50747,71380,90370,135293,252463,446204,560037,555913,530601,515647,517303,527717,496969,426084,272416,475678,5924822
1990,   Slovakia,381,990,1149,1619,2121,2657,2844,3358,4498,3187,2676,3212,3634,3306,2231,3432,41295,195,504,578,813,1029,1236,1305,1579,2141,1491,1175,1339,1460,1319,822,1201,18187,186,486,571,806,1092,1421,1539,1779,2357,1696,1501,1873,2174,1987,1409,2231,23108
1995,   Slovakia,376,931,1908,2316,2644,3397,4223,5216,5906,6214,7756,5964,6749,5218,4143,6362,69323,194,476,969,1159,1291,1610,1981,2465,2808,2890,3456,2527,2770,2057,1565,2313,30531,182,455,939,1157,1353,1787,2242,2751,3098,3324,4300,3437,3979,3161,2578,4049,38792
2000,   Slovakia,539,1296,3363,3903,4237,5501,7205,9022,9658,11403,15274,10822,9090,7114,7049,10900,116376,277,664,1700,1972,2070,2579,3334,4275,4632,5376,6764,4555,3689,2867,2624,3875,51253,262,632,1663,1931,2167,2922,3871,4747,5026,6027,8510,6267,5401,4247,4425,7025,65123
2005,   Slovakia,6067,2890,2690,2976,4438,5615,7392,8783,9864,11246,13327,11581,13054,11277,7610,11681,130491,3157,1498,1388,1513,2201,2707,3528,4222,4771,5324,6053,5010,5477,4551,2948,4368,58716,2910,1392,1302,1463,2237,2908,3864,4561,5093,5922,7274,6571,7577,6726,4662,7313,71775
2010,   Slovakia,7375,4144,2213,2564,5091,6193,7050,8373,9906,11750,12015,13640,18637,12192,9654,15522,146319,3837,2169,1143,1312,2580,3186,3612,4220,4892,5770,5801,6342,8086,4938,3563,5487,66938,3538,1975,1070,1252,2511,3007,3438,4153,5014,5980,6214,7298,10551,7254,6091,10035,79381
2015,   Slovakia,6302,9011,3926,2633,5111,9633,11191,12097,12716,13997,14470,14299,15560,17436,11518,17724,177624,3214,4675,2027,1385,2605,5149,6370,7219,7426,7928,7918,7522,7460,7564,4571,5978,89011,3088,4336,1899,1248,2506,4484,4821,4878,5290,6069,6552,6777,8100,9872,6947,11746,88613
2020,   Slovakia,9915,10402,8542,3990,4156,8700,12919,13759,14175,14327,15397,14621,14552,15693,15145,20868,197161,5003,5249,4398,2059,2112,4525,7091,8139,8666,8419,8796,8052,7543,7164,6168,7167,100551,4912,5153,4144,1931,2044,4175,5828,5620,5509,5908,6601,6569,7009,8529,8977,13701,96610
1990,   Ukraine*,88583,191414,311048,369748,397853,459540,561315,646030,659644,623374,555284,472572,410028,346428,311786,488273,6892920,43791,93765,149519,173664,182244,205735,246987,280680,284107,266773,234371,190766,160023,132244,120396,188538,2953603,44792,97649,161529,196084,215609,253805,314328,365350,375537,356601,320913,281806,250005,214184,191390,299735,3939317
1995,   Ukraine*,79322,171403,278531,331094,356261,411499,502635,578494,590685,558206,497234,423169,367163,310212,279192,437238,6172338,40067,85976,137814,160183,168141,189547,226984,257620,260109,244373,216141,180095,145898,110048,89306,132543,2644845,39255,85427,140717,170911,188120,221952,275651,320874,330576,313833,281093,243074,221265,200164,189886,304695,3527493
2000,   Ukraine*,26176,65713,136646,296819,302930,325520,367584,465772,565396,549360,527029,467251,382958,336578,305879,405476,5527087,13204,33188,68342,145903,144948,151720,167593,208684,250518,240571,230838,201304,160637,125430,102522,122962,2368364,12972,32525,68304,150916,157982,173800,199991,257088,314878,308789,296191,265947,222321,211148,203357,282514,3158723
2005,   Ukraine*,23917,60044,124858,271214,276798,297439,335874,425592,516623,501970,481565,426944,349922,307543,279492,370507,5050302,11929,29975,61937,132668,132325,138630,152695,189594,226879,217917,207807,182900,146684,120144,97143,118833,2168060,11988,30069,62921,138546,144473,158809,183179,235998,289744,284053,273758,244044,203238,187399,182349,251674,2882242
2010,   Ukraine*,24384,33593,68528,148079,240630,286041,307782,355504,434238,499775,510307,482248,429571,365585,317201,315301,4818767,12108,16694,33918,72497,115603,134266,140895,159053,190940,216985,219633,206231,181176,147462,116372,108641,2072474,12276,16899,34610,75582,125027,151775,166887,196451,243298,282790,290674,276017,248395,218123,200829,206660,2746293
2015,   Ukraine*,24871,34264,69898,151040,245442,291761,313937,362614,442922,509770,520513,491892,438162,372896,323544,321616,4915142,12214,16837,34262,73411,117440,136737,143618,161869,193685,219574,221811,208030,183486,151750,122695,116505,2113924,12657,17427,35636,77629,128002,155024,170319,200745,249237,290196,298702,283862,254676,221146,200849,205111,2801218
2020,   Ukraine*,24946,76202,85330,155300,297624,407511,415443,390769,395940,434952,454465,441253,403291,350217,292176,371968,4997387,12191,37262,41621,75108,141680,189968,188996,173422,172095,186186,192443,185419,167783,141545,109948,133631,2149298,12755,38940,43709,80192,155944,217543,226447,217347,223845,248766,262022,255834,235508,208672,182228,238337,2848089
1990,  Northern Europe,110460,190662,231673,307689,463342,618159,677021,654919,598620,518829,498316,442365,416324,353809,253989,309428,6645605,56203,96270,116774,154056,219659,302452,335784,323438,289066,251446,246014,214895,192109,160513,108083,109659,3176421,54257,94392,114899,153633,243683,315707,341237,331481,309554,267383,252302,227470,224215,193296,145906,199769,3469184
1995,  Northern Europe,117371,178806,237533,333263,540842,630525,741627,714390,672456,600572,496690,460131,414721,387510,323797,344590,7194824,59667,90695,120768,166894,252203,305249,366120,348978,318669,287049,244954,223176,187665,174130,138315,119642,3404174,57704,88111,116765,166369,288639,325276,375507,365412,353787,313523,251736,236955,227056,213380,185482,224948,3790650
2000,  Northern Europe,122105,206433,277351,361572,563145,729897,778362,775158,750825,668721,585087,469379,452154,378569,331730,450485,7900973,61913,105080,142008,182779,260587,339843,376299,381211,366144,319440,272084,220648,212406,170871,135619,164247,3711179,60192,101353,135343,178793,302558,390054,402063,393947,384681,349281,313003,248731,239748,207698,196111,286238,4189794
2005,  Northern Europe,153772,215710,271319,441146,929639,1095016,1063816,914408,837807,753746,650105,555136,447898,413574,341455,504267,9588814,78660,110871,140237,225451,435206,517064,518851,452847,415600,366904,306213,261794,213755,192780,143212,184968,4564413,75112,104839,131082,215695,494433,577952,544965,461561,422207,386842,343892,293342,234143,220794,198243,319299,5024401
2010,  Northern Europe,168977,317274,390350,489278,888518,1349751,1345799,1145813,1027420,896460,769477,620081,491859,404526,375937,613417,11294937,84254,158236,196092,242817,441851,648545,668907,575940,520675,440386,375502,289173,221838,190346,167187,226107,5447856,84723,159038,194258,246461,446667,701206,676892,569873,506745,456074,393975,330908,270021,214180,208750,387310,5847081
2015,  Northern Europe,210792,387485,448284,557754,894500,1387861,1660827,1520695,1251360,1026936,908090,771215,583591,464456,389597,727643,13191086,106007,196673,230598,281244,440896,652800,794451,764929,625484,507309,448606,366957,265425,208375,174142,284013,6347909,104785,190812,217686,276510,453604,735061,866376,755766,625876,519627,459484,404258,318166,256081,215455,443630,6843177
2020,  Northern Europe,214898,436881,541144,655588,957342,1379408,1767120,1802881,1534814,1260706,1031828,889572,717014,550340,426700,807625,14973861,113073,224680,272370,341312,475610,664321,869119,876009,757467,628425,505044,427203,341228,249629,190232,321339,7257061,101825,212201,268774,314276,481732,715087,898001,926872,777347,632281,526784,462369,375786,300711,236468,486286,7716800
1990,   Channel Islands*,535,964,1257,1782,4298,6585,6491,5990,5637,5900,5781,3964,3011,2606,2372,4487,61660,274,471,636,848,1819,3036,3113,2815,2766,2938,2898,2038,1473,1216,1045,1619,29005,261,493,621,934,2479,3549,3378,3175,2871,2962,2883,1926,1538,1390,1327,2868,32655
1995,   Channel Islands*,526,947,1234,1750,4219,6464,6362,5880,5533,5791,5675,3891,2956,2558,2329,4404,60519,269,462,624,832,1785,2980,3058,2763,2714,2883,2844,2000,1446,1193,1026,1589,28468,257,485,610,918,2434,3484,3304,3117,2819,2908,2831,1891,1510,1365,1303,2815,32051
2000,   Channel Islands*,573,1075,1434,2084,4202,6049,6915,6583,6315,6370,6027,5061,3488,2237,2037,3851,64301,290,536,702,971,1871,2733,3230,3128,3052,3142,3017,2530,1616,1065,918,1433,30234,283,539,732,1113,2331,3316,3685,3455,3263,3228,3010,2531,1872,1172,1119,2418,34067
2005,   Channel Islands*,578,1164,1719,2772,4537,6278,7322,7384,7171,6961,6511,5680,4652,2261,2058,3893,70941,294,584,846,1300,2035,2857,3443,3531,3486,3453,3278,2855,2169,1083,934,1463,33611,284,580,873,1472,2502,3421,3879,3853,3685,3508,3233,2825,2483,1178,1124,2430,37330
2010,   Channel Islands*,588,1265,2019,3480,4919,6577,7806,8259,8095,7622,7062,6354,5144,2310,2103,3978,77581,300,638,999,1639,2218,3009,3690,3969,3954,3798,3571,3208,2411,1112,960,1506,36982,288,627,1020,1841,2701,3568,4116,4290,4141,3824,3491,3146,2733,1198,1143,2472,40599
2015,   Channel Islands*,687,1208,1982,3387,4909,6621,8010,8647,8607,8176,7603,6882,5632,2741,2496,4719,82307,352,610,984,1601,2222,3040,3801,4170,4218,4087,3855,3486,2649,1324,1144,1795,39338,335,598,998,1786,2687,3581,4209,4477,4389,4089,3748,3396,2983,1417,1352,2924,42969
2020,   Channel Islands*,1314,1862,1567,2495,6309,8118,7045,6758,7521,7839,7582,7055,6341,5111,2324,4846,84087,673,942,779,1182,2860,3728,3346,3263,3690,3928,3850,3578,2987,2471,1066,1847,40190,641,920,788,1313,3449,4390,3699,3495,3831,3911,3732,3477,3354,2640,1258,2999,43897
1990,   Denmark*,6499,12071,13191,16156,24314,29267,26768,21399,19491,16575,11727,8504,7340,6365,4833,10689,235189,3176,5712,6214,7344,12218,16471,14759,11008,10134,8951,5777,3673,2723,2085,1586,2580,114411,3323,6359,6977,8812,12096,12796,12009,10391,9357,7624,5950,4831,4617,4280,3247,8109,120778
1995,   Denmark*,5852,12222,15182,17943,30206,40892,39446,31971,24036,20640,17391,12987,10257,8304,6634,9145,303108,2824,5706,7054,8038,14995,22795,21534,16257,12356,11032,8460,5520,3727,2652,2122,2122,147194,3028,6516,8128,9905,15211,18097,17912,15714,11680,9608,8931,7467,6530,5652,4512,7023,155914
2000,   Denmark*,7672,15757,20769,24089,33781,41922,46456,42907,34088,25718,21519,17090,12132,9526,6578,11022,371026,3777,7855,10425,11532,15462,19540,23232,22441,17703,13090,10943,8542,5275,4284,2661,3215,179977,3895,7902,10344,12557,18319,22382,23224,20466,16385,12628,10576,8548,6857,5242,3917,7807,191049
